2026-05-03 11:44:04,481 - INFO - Building environment (duel)...
2026-05-03 11:44:04,481 - INFO - hisss reward_cfg (how match rewards are shaped): {'living_reward': 0.0, 'terminal_reward': 1.0}
2026-05-03 11:44:04,482 - INFO - Observation shape: (2, 21, 21, 22) | channels=22
2026-05-03 11:44:05,058 - INFO - DQN training configuration: {
  "gamma": 0.99,
  "batch_size": 64,
  "train_after": 500,
  "train_every": 1,
  "target_update_every": 500,
  "epsilon_start": 1.0,
  "epsilon_end": 0.05,
  "epsilon_decay_steps": 50000,
  "replay_capacity": 50000
}
2026-05-03 11:44:08,233 - DEBUG - env step | turn=51 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,234 - DEBUG - env step | turn=52 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,234 - DEBUG - env step | turn=53 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,234 - DEBUG - env step | turn=54 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,234 - DEBUG - env step | turn=55 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,234 - DEBUG - env step | turn=56 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,235 - DEBUG - env step | turn=57 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,250 - DEBUG - env step | turn=58 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,250 - DEBUG - env step | turn=59 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,250 - DEBUG - env step | turn=60 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,250 - DEBUG - env step | turn=61 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,251 - DEBUG - env step | turn=62 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,251 - DEBUG - env step | turn=63 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,251 - DEBUG - env step | turn=64 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,251 - DEBUG - env step | turn=65 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,266 - DEBUG - env step | turn=66 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,267 - DEBUG - env step | turn=67 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,267 - DEBUG - env step | turn=68 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,267 - DEBUG - env step | turn=69 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,268 - DEBUG - env step | turn=70 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,268 - DEBUG - env step | turn=71 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,268 - DEBUG - env step | turn=72 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,268 - DEBUG - env step | turn=73 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,283 - DEBUG - env step | turn=74 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,283 - DEBUG - env step | turn=75 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,284 - DEBUG - env step | turn=76 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,284 - DEBUG - env step | turn=77 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,284 - DEBUG - env step | turn=78 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,284 - DEBUG - env step | turn=79 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,285 - DEBUG - env step | turn=80 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,285 - DEBUG - env step | turn=81 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,300 - DEBUG - env step | turn=82 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,300 - DEBUG - env step | turn=83 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,301 - DEBUG - env step | turn=84 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,301 - DEBUG - env step | turn=85 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,301 - DEBUG - env step | turn=86 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,301 - DEBUG - env step | turn=87 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,301 - DEBUG - env step | turn=88 | actions=(0, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,302 - DEBUG - env step | turn=89 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,317 - DEBUG - env step | turn=90 | actions=(0, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,317 - DEBUG - env step | turn=91 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,317 - DEBUG - env step | turn=92 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,317 - DEBUG - env step | turn=93 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,318 - DEBUG - env step | turn=94 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,318 - DEBUG - env step | turn=95 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,318 - DEBUG - env step | turn=96 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,318 - DEBUG - env step | turn=97 | actions=(0, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,335 - DEBUG - env step | turn=98 | actions=(0, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,335 - DEBUG - env step | turn=99 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,336 - DEBUG - env step | turn=100 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,336 - DEBUG - env step | turn=101 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,336 - DEBUG - env step | turn=102 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,336 - DEBUG - env step | turn=103 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,337 - DEBUG - env step | turn=104 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,337 - DEBUG - env step | turn=105 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,352 - DEBUG - env step | turn=106 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,352 - DEBUG - env step | turn=107 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,353 - DEBUG - env step | turn=108 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,353 - DEBUG - env step | turn=109 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,353 - DEBUG - env step | turn=110 | actions=(2, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,353 - DEBUG - env step | turn=111 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:44:08,354 - DEBUG - env step | turn=112 | actions=(0, 1) | rewards=[0. 0.] | done=False
