2026-06-02 18:20:07,136 - INFO - hisss reward_cfg: {'living_reward': 0.0, 'terminal_reward': 1.0}
2026-06-02 18:20:07,775 - INFO - DQN training configuration: {
  "algorithm": "rainbow",
  "gamma": 0.99,
  "n_step": 3,
  "batch_size": 64,
  "train_after": 500,
  "target_update_every": 500,
  "epsilon_decay_steps": 50000,
  "replay_capacity": 50000,
  "beta_start": 0.4,
  "beta_end": 1.0
}
2026-06-02 18:20:08,842 - DEBUG - env step | turn=20 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,842 - DEBUG - env step | turn=21 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,842 - DEBUG - env step | turn=22 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,869 - DEBUG - env step | turn=23 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,869 - DEBUG - env step | turn=24 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,869 - DEBUG - env step | turn=25 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,869 - DEBUG - env step | turn=26 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,870 - DEBUG - env step | turn=27 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,870 - DEBUG - env step | turn=28 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,870 - DEBUG - env step | turn=29 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,870 - DEBUG - env step | turn=30 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,897 - DEBUG - env step | turn=31 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,897 - DEBUG - env step | turn=32 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,898 - DEBUG - env step | turn=33 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,898 - DEBUG - env step | turn=34 | actions=(0, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,898 - DEBUG - env step | turn=35 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,898 - DEBUG - env step | turn=36 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,898 - DEBUG - env step | turn=37 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,899 - DEBUG - env step | turn=38 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,925 - DEBUG - env step | turn=39 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,926 - DEBUG - env step | turn=40 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,926 - DEBUG - env step | turn=41 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-06-02 18:20:08,926 - DEBUG - env step | turn=42 | actions=(0, 1) | rewards=[0. 0.] | done=False
