2026-05-03 11:46:55,033 - INFO - Building environment (duel)...
2026-05-03 11:46:55,034 - INFO - hisss reward_cfg (how match rewards are shaped): {'living_reward': 0.0, 'terminal_reward': 1.0}
2026-05-03 11:46:55,034 - INFO - Observation shape: (2, 21, 21, 22) | channels=22
2026-05-03 11:46:55,592 - INFO - DQN training configuration: {
  "gamma": 0.99,
  "batch_size": 64,
  "train_after": 500,
  "train_every": 1,
  "target_update_every": 500,
  "epsilon_start": 1.0,
  "epsilon_end": 0.05,
  "epsilon_decay_steps": 50000,
  "replay_capacity": 50000
}
2026-05-03 11:46:56,429 - DEBUG - env step | turn=24 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,429 - DEBUG - env step | turn=25 | actions=(1, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,463 - DEBUG - env step | turn=26 | actions=(2, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,464 - DEBUG - env step | turn=27 | actions=(1, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,464 - DEBUG - env step | turn=28 | actions=(0, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,465 - DEBUG - env step | turn=29 | actions=(0, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,465 - DEBUG - env step | turn=30 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,499 - DEBUG - env step | turn=31 | actions=(3, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,499 - DEBUG - env step | turn=32 | actions=(0, 3) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,500 - DEBUG - env step | turn=33 | actions=(3, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,500 - DEBUG - env step | turn=34 | actions=(2, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,500 - DEBUG - env step | turn=35 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,534 - DEBUG - env step | turn=36 | actions=(3, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,534 - DEBUG - env step | turn=37 | actions=(3, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,534 - DEBUG - env step | turn=38 | actions=(2, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,535 - DEBUG - env step | turn=39 | actions=(1, 0) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,535 - DEBUG - env step | turn=40 | actions=(1, 1) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,569 - DEBUG - env step | turn=41 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,569 - DEBUG - env step | turn=42 | actions=(0, 2) | rewards=[0. 0.] | done=False
2026-05-03 11:46:56,569 - DEBUG - env step | turn=43 | actions=(1, 2) | rewards=[0. 0.] | done=False
